Tempo(s),Pkt_env,Pkt_Rcv,Pkt_PDR,Exp_Pkt_Rcv,Exp_Pkts_Range_Recv,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10
47,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
48,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
49,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
50,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
51,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
52,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
53,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
54,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
55,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
56,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
57,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
58,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
59,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
60,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
61,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
62,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
63,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
64,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
65,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
66,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
67,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
